Frame,Visibility,X,Y,Checked
0,0,0,0,
1,1,1103,206,
2,1,1105,206,
3,1,1105,205,
4,0,0,0,reject
5,0,0,0,
6,0,0,0,
7,0,0,0,
8,0,0,0,
9,0,0,0,
10,0,0,0,
11,0,0,0,
12,0,0,0,
13,0,0,0,
14,0,0,0,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,1,992,255,
19,1,990,257,
20,0,0,0,reject
21,1,987,265,
22,1,985,270,
23,1,985,275,
24,1,987,282,
25,1,990,287,
26,1,990,290,
27,0,0,0,
28,0,0,0,
29,0,0,0,
30,0,0,0,
31,0,0,0,
32,0,0,0,
33,0,0,0,
34,0,0,0,
35,0,0,0,
36,0,0,0,
37,0,0,0,
38,0,0,0,
39,0,0,0,
40,0,0,0,
41,0,0,0,
42,0,0,0,
43,0,0,0,
44,0,0,0,
45,0,0,0,
46,0,0,0,
47,0,0,0,
48,0,0,0,
49,0,0,0,
50,0,0,0,
51,0,0,0,
52,0,0,0,
53,0,0,0,
54,0,0,0,
55,0,0,0,
56,0,0,0,
57,0,0,0,
58,0,0,0,
59,0,0,0,
60,0,0,0,
61,0,0,0,
62,0,0,0,
63,0,0,0,
64,0,0,0,
65,0,0,0,
66,0,0,0,
67,0,0,0,
68,0,0,0,
69,0,0,0,
70,0,0,0,
71,1,618,301,
72,0,0,0,
73,0,0,0,
74,0,0,0,
75,0,0,0,
76,0,0,0,
77,0,0,0,
78,0,0,0,
79,0,0,0,
80,0,0,0,
81,0,0,0,
82,0,0,0,
83,0,0,0,
84,0,0,0,
85,0,0,0,
86,0,0,0,
87,0,0,0,
88,0,0,0,
89,0,0,0,
90,0,0,0,
91,0,0,0,
92,0,0,0,
93,0,0,0,
94,0,0,0,
95,0,0,0,
96,0,0,0,
97,0,0,0,
98,0,0,0,
99,0,0,0,
100,0,0,0,
101,0,0,0,
102,0,0,0,
103,0,0,0,
104,0,0,0,
105,0,0,0,
106,0,0,0,
107,0,0,0,
108,0,0,0,
109,0,0,0,
110,1,270,7,ok
111,1,152,20,
112,0,0,0,reject
113,1,165,20,
114,0,0,0,reject
115,1,165,17,
116,1,162,17,
117,1,505,612,
118,1,632,615,
119,1,630,615,
120,1,630,612,
121,1,404,314,
122,1,177,15,
123,0,0,0,reject
124,0,0,0,reject
125,1,202,605,
126,1,202,15,
127,1,202,15,
128,0,0,0,reject
129,1,205,15,
130,1,205,15,
131,1,205,15,
132,1,205,15,
133,1,797,195,
134,1,785,197,
135,0,0,0,
136,0,0,0,
137,1,682,7,
138,1,682,7,
139,1,682,10,
140,1,682,10,
141,1,682,10,
142,1,682,12,
143,1,682,17,
144,1,675,400,
145,1,225,250,
146,1,226,251,
147,1,226,256,
148,1,286,551,edit
149,1,225,267,
150,1,225,270,
151,1,225,275,
152,1,285,556,edit
153,1,301,556,edit
154,1,262,655,
155,0,0,0,
156,1,682,10,
157,1,682,12,
158,1,682,12,
159,1,685,12,
160,1,687,12,
161,1,687,12,
162,1,310,665,
163,1,320,662,
164,1,1057,150,
165,1,1055,150,
166,1,1055,150,
167,1,1060,142,
168,1,1060,142,
169,1,1057,142,
170,1,1055,142,
171,1,302,607,
172,0,0,0,
173,1,438,536,
174,1,473,496,
175,1,475,470,
176,1,493,445,
177,0,0,0,
178,1,523,405,
179,1,538,381,
180,1,390,615,
181,0,0,0,
182,1,566,251,
183,0,0,0,
184,1,565,215,
185,1,566,180,
186,1,566,163,
187,1,568,138,
188,1,565,111,
189,1,573,85,
190,1,575,60,
191,1,576,43,
192,1,576,30,
193,1,576,15,
194,1,580,10,
195,0,0,0,
196,0,0,0,
197,0,0,0,
198,0,0,0,
199,0,0,0,
200,0,0,0,
201,0,0,0,
202,0,0,0,
203,0,0,0,
204,0,0,0,
205,1,610,5,ok
206,1,610,7,
207,0,0,0,
208,1,615,12,ok
209,0,0,0,
210,1,618,30,
211,1,620,45,ok
212,1,621,56,
213,1,625,70,
214,1,626,85,
215,0,0,0,
216,1,648,100,
217,1,671,96,
218,0,0,0,
219,1,710,86,
220,0,0,0,
221,1,731,83,
222,1,750,83,
223,1,760,88,
224,1,768,95,
225,1,778,101,
226,1,785,110,
227,1,793,120,
228,1,801,126,
229,1,803,135,
230,1,806,145,
231,1,813,155,
232,1,816,171,
233,0,0,0,
234,1,823,198,
235,0,0,0,
236,1,828,221,
237,0,0,0,
238,0,0,0,
239,0,0,0,
240,1,832,265,
241,1,835,258,
242,0,0,0,
243,1,833,226,
244,1,831,213,
245,1,831,195,
246,1,830,181,
247,1,828,166,
248,1,826,151,
249,1,826,136,
250,1,823,121,
251,1,821,110,ok
252,1,821,96,
253,1,820,85,
254,1,820,71,
255,1,818,63,
256,1,816,55,
257,1,818,45,
258,1,816,36,
259,1,816,28,
260,1,815,15,
261,1,816,11,
262,1,815,6,
263,1,812,7,
264,1,810,7,
265,1,57,310,
266,1,57,312,
267,1,57,312,
268,1,57,312,
