Frame,Visibility,X,Y
0,1,593,290
1,1,591,295
2,1,591,301
3,1,590,308
4,1,588,315
5,1,586,323
6,1,583,336
7,1,581,340
8,1,581,341
9,1,581,338
10,1,581,331
11,1,581,315
12,1,581,310
13,1,581,306
14,1,581,300
15,1,590,285
16,1,590,276
17,1,591,268
18,1,595,260
19,1,596,253
20,1,600,245
21,1,601,235
22,1,603,230
23,1,605,225
24,1,606,218
25,1,608,208
26,1,610,205
27,1,610,200
28,1,611,195
29,1,613,190
30,1,620,185
31,1,621,180
32,1,623,175
33,1,625,166
34,1,626,161
35,1,627,157
36,1,630,151
37,1,631,146
38,1,633,143
39,1,635,138
40,1,636,135
41,1,640,128
42,1,641,125
43,1,643,121
44,1,645,120
45,1,648,121
46,1,650,118
47,1,651,115
48,1,653,110
49,1,655,108
50,1,656,106
51,1,660,101
52,1,660,100
53,1,663,98
54,1,666,95
55,1,668,93
56,1,670,93
57,1,670,91
58,1,671,91
59,1,673,91
60,1,676,91
61,1,678,90
62,1,683,90
63,1,683,88
64,1,685,88
65,1,686,88
66,1,688,90
67,1,693,90
68,1,695,91
69,1,696,90
70,1,698,91
71,1,700,91
72,1,701,93
73,1,703,95
74,1,705,96
75,1,706,103
76,1,710,103
77,1,711,103
78,1,710,110
79,1,716,108
80,1,723,110
81,1,723,110
82,1,723,113
83,1,725,118
84,1,728,121
85,1,731,125
86,1,731,128
87,1,733,135
88,1,733,138
89,1,736,143
90,1,738,146
91,1,741,150
92,1,745,155
93,1,748,161
94,1,748,166
95,1,751,170
96,1,755,178
97,1,756,183
98,1,758,191
99,1,761,198
100,1,763,205
101,1,766,210
102,1,768,218
103,1,770,226
104,1,770,231
105,1,775,240
106,1,776,245
107,1,778,256
108,1,780,263
109,1,785,275
110,1,788,283
111,1,791,295
112,1,793,301
113,1,795,306
114,1,796,303
115,1,795,310
116,1,793,295
117,0,0,0
118,1,790,265
119,1,787,255
120,1,786,245
121,1,785,235
122,1,785,225
123,1,780,215
124,1,781,205
125,1,780,196
126,1,778,188
127,1,776,180
128,1,775,171
129,1,775,163
130,1,773,153
131,1,770,148
132,1,768,141
133,1,766,136
134,1,765,126
135,1,765,121
136,1,763,118
137,1,761,113
138,1,760,108
139,1,758,100
140,1,758,95
141,1,756,90
142,1,755,85
143,1,753,83
144,1,751,75
145,1,750,71
146,1,748,70
147,1,746,66
148,1,741,63
149,1,741,61
150,1,736,56
151,1,736,55
152,1,736,53
153,1,736,50
154,1,736,48
155,1,735,45
156,1,733,43
157,1,735,41
158,1,733,41
159,1,733,41
160,1,731,40
161,1,731,40
162,1,730,41
163,1,730,43
164,1,728,45
165,0,0,0
166,0,0,0
167,1,713,41
168,1,713,43
169,1,713,41
170,1,708,43
171,1,706,43
172,1,706,45
173,1,703,46
174,1,705,48
175,1,703,48
176,1,703,50
177,1,701,53
178,1,701,56
179,1,701,56
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,1,630,270
185,0,0,0
186,0,0,0
187,0,0,0
188,1,686,93
189,1,686,98
190,1,685,103
191,1,683,108
192,1,683,113
193,1,681,118
194,1,681,125
195,1,678,128
196,1,678,136
197,1,676,145
198,1,675,150
199,1,673,153
200,1,671,163
201,1,671,170
202,1,670,176
203,1,668,181
204,1,666,193
205,1,666,201
206,1,661,215
207,1,661,221
208,1,663,225
209,1,666,230
210,1,680,235
211,1,683,243
212,1,696,245
213,1,706,250
214,1,723,255
215,1,731,256
216,1,751,261
217,1,761,263
218,1,768,270
219,1,785,281
220,1,800,287
221,1,815,295
222,1,831,305
223,1,845,313
224,1,856,323
225,0,0,0
226,0,0,0
227,0,0,0
228,1,950,375
229,0,0,0
230,1,997,415
231,1,1017,435
232,1,1050,455
233,1,1082,487
234,1,1135,536
235,1,1153,553
236,1,1185,565
237,1,1195,555
238,1,1228,546
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
256,0,0,0
257,0,0,0
258,0,0,0
259,0,0,0
260,0,0,0
261,0,0,0
262,0,0,0
263,0,0,0
264,0,0,0
265,0,0,0
266,0,0,0
267,0,0,0
268,0,0,0
269,0,0,0
270,0,0,0
271,0,0,0
272,0,0,0
273,0,0,0
274,0,0,0
275,0,0,0
276,0,0,0
277,0,0,0
278,0,0,0
279,0,0,0
280,0,0,0
281,0,0,0
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,0,0,0
311,0,0,0
312,0,0,0
313,0,0,0
314,0,0,0
315,0,0,0
316,0,0,0
317,0,0,0
318,0,0,0
319,0,0,0
320,0,0,0
321,0,0,0
322,0,0,0
323,0,0,0
324,0,0,0
325,0,0,0
326,0,0,0
327,0,0,0
328,0,0,0
329,0,0,0
330,0,0,0
331,0,0,0
332,0,0,0
333,0,0,0
334,0,0,0
335,0,0,0
336,0,0,0
337,0,0,0
338,0,0,0
339,0,0,0
340,0,0,0
341,0,0,0
342,0,0,0
343,0,0,0
344,0,0,0
345,0,0,0
346,0,0,0
347,0,0,0
348,0,0,0
349,0,0,0
350,0,0,0
351,0,0,0
352,0,0,0
353,0,0,0
354,0,0,0
355,0,0,0
356,0,0,0
357,0,0,0
358,0,0,0
359,0,0,0
360,1,972,255
361,1,382,132
362,1,401,124
363,1,420,116
364,1,439,108
365,1,458,100
366,1,478,91
367,1,497,83
368,1,516,75
369,1,535,67
370,1,535,70
371,1,537,72
372,1,537,75
373,1,537,77
374,1,540,80
375,1,541,86
376,1,543,90
377,1,545,95
378,1,548,95
379,1,548,98
380,1,551,100
381,1,555,106
382,1,555,108
383,1,556,111
384,1,556,115
385,1,556,120
386,1,556,123
387,1,561,126
388,1,561,135
389,1,561,140
390,1,563,136
391,1,565,140
392,1,566,146
393,1,568,151
394,1,568,155
395,1,570,161
396,1,573,166
397,1,575,173
398,1,576,178
399,1,578,181
400,1,581,188
401,1,583,191
402,1,583,198
403,1,586,201
404,1,588,206
405,1,590,215
406,1,590,218
407,1,591,225
408,1,595,230
409,1,596,233
410,1,598,241
411,1,600,245
412,1,600,250
413,1,603,256
414,1,606,261
415,1,606,270
416,1,608,276
417,1,610,285
418,1,613,288
419,1,613,296
420,0,0,0
421,1,615,305
422,1,618,303
423,1,618,301
424,1,618,300
425,1,618,286
426,1,618,285
427,1,616,278
428,1,616,271
429,1,616,268
430,1,613,258
431,1,610,251
432,1,610,243
433,1,607,235
434,0,0,0
435,0,0,0
436,1,605,215
437,1,603,205
438,1,603,196
439,1,601,190
440,0,0,0
441,1,600,176
442,0,0,0
443,1,600,168
444,1,601,163
445,1,600,153
446,1,598,150
447,1,595,145
448,1,595,140
449,1,593,136
450,1,591,138
451,1,591,130
452,1,590,123
453,1,590,113
454,1,588,108
455,1,588,100
456,1,588,95
457,1,588,88
458,1,586,85
459,0,0,0
460,0,0,0
461,1,581,71
462,1,581,68
463,1,580,65
464,1,580,63
465,1,575,56
466,1,575,51
467,1,576,48
468,1,575,45
469,1,573,38
470,1,571,35
471,1,571,30
472,1,570,30
473,0,0,0
474,0,0,0
475,0,0,0
476,0,0,0
477,1,565,15
478,1,565,15
479,1,565,12
480,1,563,11
481,1,563,5
482,1,363,380
483,1,362,376
484,1,360,372
485,0,0,0
486,1,358,365
487,1,358,358
488,1,358,356
489,1,356,353
490,1,355,351
491,1,343,354
492,1,332,356
493,1,320,358
494,1,308,361
495,1,301,363
496,1,295,366
497,1,288,368
498,1,288,366
499,1,288,363
500,1,288,360
501,1,288,358
502,1,290,355
503,1,288,356
504,1,290,353
505,1,288,355
506,1,286,356
507,1,286,356
508,1,286,358
509,1,285,358
510,1,298,351
511,1,300,350
512,1,298,351
513,1,300,353
514,1,300,355
515,1,301,356
516,1,305,358
517,1,305,363
518,1,306,366
519,1,306,370
520,1,306,375
521,1,306,376
522,1,308,381
523,1,308,385
524,1,310,386
525,1,280,379
526,1,250,371
527,1,221,364
528,1,191,356
529,1,161,349
530,1,132,342
531,1,102,334
532,1,72,327
533,1,111,331
534,1,150,334
535,1,189,338
536,1,228,342
537,1,268,346
538,1,307,350
539,1,346,353
540,1,385,357
541,1,380,362
542,1,376,366
543,1,376,356
544,1,376,355
545,1,377,348
546,1,378,341
547,1,379,334
548,1,381,326
549,1,382,319
550,1,383,312
551,1,384,305
552,1,385,298
553,1,386,291
554,0,0,0
555,0,0,0
556,0,0,0
557,0,0,0
558,1,392,255
559,1,392,254
560,1,392,253
561,1,392,252
562,1,392,252
563,1,392,251
564,1,392,250
565,1,392,247
566,1,392,245
567,1,470,15
568,1,473,5
569,1,471,11
570,1,470,17
571,1,470,17
572,1,400,245
573,0,0,0
574,0,0,0
575,0,0,0
576,1,466,31
577,1,465,38
578,1,465,41
579,1,465,43
580,1,463,45
581,1,463,46
582,1,465,45
583,1,461,56
584,1,461,58
585,1,460,66
586,1,460,70
587,1,458,73
588,1,458,75
589,1,456,81
590,1,455,83
591,1,455,86
592,1,455,91
593,1,453,98
594,1,455,101
595,1,450,108
596,1,450,113
597,1,450,120
598,1,448,125
599,1,446,130
600,1,446,128
601,1,445,135
602,1,443,141
603,1,441,148
604,1,440,153
605,1,440,161
606,1,438,166
607,1,438,175
608,1,438,180
609,1,433,190
610,1,436,190
611,1,438,190
612,1,443,191
613,1,445,195
614,0,0,0
615,1,460,206
