epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.17441,2.69252,11.8324,0.376,1.23083,5.03349,0.74695,0.59268,0.67833,0.48083,0,0,0,0,1.73511,11.4134,0.34664,1.55883,2.13955,0,0,0.1
2,9.41105,2.76368,11.8982,0.36073,1.11972,5.37456,0.74695,0.59268,0.67833,0.48083,0,0,0,0,1.73511,11.4134,0.34664,1.55883,2.13955,9.98586e-05,9.98586e-05,0.0667665
3,11.6114,2.78976,11.7149,0.40288,1.43066,4.89005,0.74695,0.59268,0.67833,0.48083,0,0,0,0,1.73511,11.4134,0.34664,1.55883,2.13955,0.000199434,0.000199434,0.0335328
4,13.7901,3.13343,11.8431,0.73351,1.47143,4.91735,0.74695,0.59268,0.67833,0.48083,0,0,0,0,1.73511,11.4134,0.34664,1.55883,2.13955,0.000298727,0.000298727,0.000298727
5,16.0105,3.54202,11.6979,0.34588,1.65581,7.1277,0.74695,0.59268,0.67833,0.48083,0,0,0,0,1.73511,11.4134,0.34664,1.55883,2.13955,0.000298303,0.000298303,0.000298303
6,18.1898,3.79742,11.7185,0.42342,1.72275,6.24815,0.74695,0.59268,0.67833,0.48083,0,0,0,0,1.73511,11.4134,0.34664,1.55883,2.13955,0.000297879,0.000297879,0.000297879
7,20.3822,2.8914,11.7981,0.3497,1.33374,4.88698,0.79538,0.7815,0.715,0.513,0,0,0,0,1.55997,11.4841,0.34262,1.56114,1.90656,0.000297454,0.000297454,0.000297454
8,22.6078,3.20716,11.7872,0.32285,1.62404,7.33181,0.79538,0.7815,0.715,0.513,0,0,0,0,1.55997,11.4841,0.34262,1.56114,1.90656,0.00029703,0.00029703,0.00029703
9,24.7811,2.97191,11.6348,0.43569,1.30103,5.13907,0.79538,0.7815,0.715,0.513,0,0,0,0,1.55997,11.4841,0.34262,1.56114,1.90656,0.000296606,0.000296606,0.000296606
10,26.9576,2.23149,11.7102,0.35452,1.18306,4.01321,0.79538,0.7815,0.715,0.513,0,0,0,0,1.55997,11.4841,0.34262,1.56114,1.90656,0.000296181,0.000296181,0.000296181
11,29.148,2.91072,11.8013,0.38778,1.34246,5.88821,0.79538,0.7815,0.715,0.513,0,0,0,0,1.55997,11.4841,0.34262,1.56114,1.90656,0.000295757,0.000295757,0.000295757
12,31.3231,2.53884,11.6935,0.66835,1.1463,4.71904,0.79538,0.7815,0.715,0.513,0,0,0,0,1.55997,11.4841,0.34262,1.56114,1.90656,0.000295333,0.000295333,0.000295333
13,33.5555,3.30293,11.7342,0.36833,1.45064,5.34887,0.79009,0.8,0.715,0.513,0,0,0,0,1.51452,11.4881,0.34042,1.47783,1.88014,0.000294909,0.000294909,0.000294909
14,35.6077,2.59505,11.7382,0.36454,1.13052,4.43495,0.79009,0.8,0.715,0.513,0,0,0,0,1.51452,11.4881,0.34042,1.47783,1.88014,0.000294484,0.000294484,0.000294484
15,36.2375,2.73971,11.5568,0.33423,1.60284,5.00841,0.79009,0.8,0.715,0.513,0,0,0,0,1.51452,11.4881,0.34042,1.47783,1.88014,0.00029406,0.00029406,0.00029406
16,36.9199,2.90856,11.8633,0.44098,1.28126,4.41972,0.79009,0.8,0.715,0.513,0,0,0,0,1.51452,11.4881,0.34042,1.47783,1.88014,0.000293636,0.000293636,0.000293636
17,37.5587,3.27214,11.6724,0.36689,1.4093,5.96919,0.79009,0.8,0.715,0.513,0,0,0,0,1.51452,11.4881,0.34042,1.47783,1.88014,0.000293211,0.000293211,0.000293211
18,38.1799,3.47565,11.4939,0.51271,1.49524,6.7846,0.79009,0.8,0.715,0.513,0,0,0,0,1.51452,11.4881,0.34042,1.47783,1.88014,0.000292787,0.000292787,0.000292787
19,38.8181,2.71355,11.7518,0.36166,1.1995,4.83619,0.77882,0.8,0.755,0.551,0,0,0,0,1.54062,11.5103,0.34156,1.44085,1.96064,0.000292363,0.000292363,0.000292363
