epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.081,1.70777,11.8132,0.56865,0.89982,2.10875,0.69063,0.55,0.68118,0.28102,0,0,0,0,2.02175,11.6941,0.53715,1.48419,3.00487,9.375e-05,9.375e-05,0.0688438
2,62.3092,1.52469,11.7056,0.41599,0.79868,1.69163,0.58684,0.73333,0.71641,0.27433,0,0,0,0,2.28559,11.1807,0.59322,1.24126,2.71251,0.000193476,0.000193476,0.0356101
3,68.3378,1.49599,11.0746,0.48709,0.76442,1.63178,0.67208,0.81667,0.80614,0.40427,0,0,0,0,1.83994,10.6649,0.82296,1.04413,2.12444,0.000292919,0.000292919,0.00237625
4,81.9743,1.32536,10.3705,0.60057,0.70629,1.55801,0.79966,0.91667,0.91013,0.55327,0,0,0,0,1.55193,10.4244,0.78609,0.85404,2.21076,0.000298727,0.000298727,0.000298727
5,90.2728,1.29398,9.85946,0.55346,0.66202,1.54294,0.82712,0.88333,0.93743,0.61737,0,0,0,0,1.31692,9.96391,0.62627,0.787,1.87567,0.000298303,0.000298303,0.000298303
6,99.4787,1.16256,9.67849,0.54112,0.60678,1.42042,0.92441,0.8,0.93851,0.58251,0,0,0,0,1.41701,10.3132,0.65418,0.73857,2.14638,0.000297879,0.000297879,0.000297879
7,113.082,1.18523,9.49796,0.54002,0.6306,1.52849,0.86324,0.95,0.95418,0.61341,0,0,0,0,1.27406,10.3582,0.65148,0.68808,1.94407,0.000297454,0.000297454,0.000297454
8,121.244,1.35216,9.63297,0.54998,0.66002,1.67014,0.95532,0.88333,0.97089,0.64413,0,0,0,0,1.2992,10.1552,0.60416,0.70123,1.93129,0.00029703,0.00029703,0.00029703
9,129.271,1.07465,9.22866,0.51783,0.54281,1.33254,0.96336,0.9,0.97141,0.69439,0,0,0,0,1.13724,9.59011,0.55217,0.61871,1.67802,0.000296606,0.000296606,0.000296606
10,143.075,1.00147,9.17583,0.47674,0.53099,1.27129,0.90769,0.85,0.93206,0.68364,0,0,0,0,1.14306,9.25652,0.49864,0.65267,1.54977,0.000296181,0.000296181,0.000296181
