epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6565,1.90147,11.7558,0.53195,1.04628,2.40398,0.45775,0.71429,0.59348,0.23891,0,0,0,0,1.88697,11.6197,0.44125,3.54544,3.16831,9.65517e-05,9.65517e-05,0.0679126
2,19.2297,1.6776,11.6106,0.35451,0.89904,1.83057,0.84643,0.80357,0.85139,0.53318,0,0,0,0,1.62246,11.4791,0.39227,1.03132,2.02266,0.000196274,0.000196274,0.034679
3,22.8593,1.60374,11.2424,0.37455,0.79578,1.62795,0.86683,0.82143,0.86728,0.53402,0,0,0,0,1.75795,10.9241,0.45297,0.95706,2.00561,0.000295713,0.000295713,0.00144514
4,26.5153,1.44722,10.7451,0.42818,0.70241,1.62377,0.8706,0.84106,0.93068,0.59224,0,0,0,0,1.5558,10.5647,0.47689,0.91743,1.83293,0.000298727,0.000298727,0.000298727
5,30.2062,1.38544,10.2301,0.44004,0.70301,1.57552,0.74532,0.85714,0.86742,0.53954,0,0,0,0,1.67445,10.1699,0.50794,1.03218,1.98487,0.000298303,0.000298303,0.000298303
6,33.431,1.32201,9.93595,0.42718,0.66894,1.66777,0.93469,0.80357,0.92422,0.60594,0,0,0,0,1.46917,9.73259,0.46696,0.89256,1.84555,0.000297879,0.000297879,0.000297879
7,37.099,1.32751,9.7044,0.39054,0.65486,1.46556,0.9244,0.87347,0.94803,0.63557,0,0,0,0,1.44704,9.58831,0.40883,0.8106,1.85086,0.000297454,0.000297454,0.000297454
8,40.7446,1.18485,9.47728,0.38138,0.60383,1.46396,0.89316,0.89578,0.93676,0.65382,0,0,0,0,1.37654,9.36131,0.3767,0.78529,1.70798,0.00029703,0.00029703,0.00029703
9,44.4007,1.21299,9.33905,0.3736,0.61138,1.40759,0.91119,0.83929,0.9284,0.64097,0,0,0,0,1.37436,9.6881,0.37004,0.80454,1.62591,0.000296606,0.000296606,0.000296606
10,47.6404,1.20317,9.20983,0.35312,0.59385,1.37276,0.89971,0.80103,0.91342,0.65035,0,0,0,0,1.31444,9.42042,0.35595,0.80577,1.59055,0.000296181,0.000296181,0.000296181
11,50.8183,1.14946,9.07018,0.34688,0.59219,1.37384,0.97253,0.875,0.9265,0.69053,0,0,0,0,1.2503,9.08429,0.34967,0.83299,1.54913,0.000295757,0.000295757,0.000295757
12,54.4217,1.22328,8.94278,0.36193,0.61878,1.44948,0.92031,0.89286,0.93372,0.66607,0,0,0,0,1.29809,8.78555,0.34794,0.7675,1.59619,0.000295333,0.000295333,0.000295333
13,57.5999,1.16924,8.63295,0.35789,0.58288,1.31453,0.90421,0.89286,0.93053,0.66378,0,0,0,0,1.2702,8.61657,0.34953,0.79687,1.5823,0.000294909,0.000294909,0.000294909
14,60.8459,1.13263,8.51751,0.35154,0.55862,1.3738,0.8586,0.82143,0.9163,0.65299,0,0,0,0,1.28149,8.69959,0.34547,0.8659,1.61482,0.000294484,0.000294484,0.000294484
15,64.0797,1.11016,8.44644,0.34059,0.52462,1.29983,0.9087,0.89286,0.95217,0.70155,0,0,0,0,1.26157,8.62783,0.3321,0.73824,1.56645,0.00029406,0.00029406,0.00029406
16,67.7006,1.0358,8.36969,0.3247,0.48194,1.20175,0.9615,0.89193,0.9555,0.73065,0,0,0,0,1.15966,8.46812,0.31641,0.64168,1.43233,0.000293636,0.000293636,0.000293636
17,71.3184,1.0592,8.3071,0.31164,0.4955,1.2424,1,0.77453,0.92851,0.68462,0,0,0,0,1.2838,8.48176,0.31537,0.73831,1.58118,0.000293211,0.000293211,0.000293211
18,74.5453,1.02939,8.14028,0.3185,0.4877,1.22242,0.8778,0.83929,0.89621,0.68446,0,0,0,0,1.20828,8.38708,0.31702,0.73367,1.43096,0.000292787,0.000292787,0.000292787
19,77.7969,1.12096,8.12466,0.32709,0.52777,1.23824,0.90288,0.83013,0.92559,0.67508,0,0,0,0,1.25463,8.15986,0.30847,0.75067,1.5549,0.000292363,0.000292363,0.000292363
20,81.0375,1.0695,7.69622,0.31726,0.49284,1.20173,0.9487,0.875,0.94618,0.68179,0,0,0,0,1.25782,7.97988,0.30902,0.72472,1.5582,0.000291939,0.000291939,0.000291939
21,84.3525,0.97265,7.45667,0.30937,0.48973,1.21868,0.92357,0.86324,0.9383,0.65727,0,0,0,0,1.33309,7.77762,0.30987,0.76591,1.65771,0.000291514,0.000291514,0.000291514
22,87.565,0.98763,7.21818,0.30766,0.47912,1.21687,0.95913,0.83824,0.9153,0.69811,0.21966,0.125,0.05735,0.00574,1.24819,7.34164,0.30841,0.76601,1.47994,0.00029109,0.00029109,0.00029109
23,90.7955,1.03474,7.09119,0.3085,0.48843,1.16884,0.94109,0.85577,0.92051,0.7157,0.13892,0.10714,0.01685,0.00173,1.18799,7.28172,0.30435,0.66877,1.41282,0.000290666,0.000290666,0.000290666
24,94.026,1.04723,6.91102,0.3156,0.50436,1.32525,0.94328,0.92857,0.95363,0.72529,0.49275,0.30357,0.24379,0.0249,1.1561,7.03339,0.30422,0.63024,1.42184,0.000290241,0.000290241,0.000290241
25,97.5904,0.93991,6.66337,0.3092,0.44565,1.08522,0.92517,0.91071,0.96035,0.6953,0.62427,0.38582,0.32934,0.05846,1.15012,6.92762,0.30705,0.66555,1.40213,0.000289817,0.000289817,0.000289817
26,101.245,1.00019,6.4487,0.30578,0.44781,1.1222,0.96079,0.87507,0.96199,0.73965,0.7914,0.51786,0.53356,0.07401,1.06774,6.86035,0.2987,0.60367,1.31311,0.000289393,0.000289393,0.000289393
27,104.87,0.96504,6.54299,0.29952,0.4569,1.16285,0.9212,0.91071,0.94211,0.70704,0.58421,0.375,0.33413,0.04079,1.1553,6.94319,0.29019,0.63312,1.35495,0.000288969,0.000288969,0.000288969
28,108.101,1.01207,6.36297,0.29417,0.45255,1.05078,0.97736,0.83929,0.91996,0.69855,0.65406,0.39286,0.3311,0.04195,1.16199,6.91454,0.28775,0.72324,1.35419,0.000288544,0.000288544,0.000288544
29,111.325,0.97342,6.32806,0.28788,0.45991,1.09712,0.98064,0.90471,0.94909,0.70451,0.68408,0.41071,0.35327,0.05168,1.14769,6.82112,0.28453,0.60254,1.41842,0.00028812,0.00028812,0.00028812
30,114.518,0.9475,6.27508,0.28499,0.45478,1.15124,0.94531,0.92601,0.94698,0.70103,0.5566,0.35714,0.28578,0.03932,1.23683,6.95179,0.28357,0.64412,1.52698,0.000287696,0.000287696,0.000287696
31,117.732,0.99456,6.2862,0.28616,0.45901,1.19025,0.97987,0.86936,0.95041,0.6911,0.28791,0.17857,0.05971,0.00606,1.32149,7.20075,0.27266,0.62977,1.65268,0.000287271,0.000287271,0.000287271
32,120.929,1.05269,6.27622,0.28556,0.47666,1.20877,0.93463,0.85714,0.92993,0.69529,0.62271,0.39286,0.29861,0.03639,1.18655,6.72058,0.27281,0.66804,1.47224,0.000286847,0.000286847,0.000286847
33,124.195,1.04644,6.16595,0.30038,0.46042,1.22053,0.91722,0.83929,0.92531,0.66881,0.37309,0.25,0.15162,0.01873,1.25668,6.9232,0.27286,0.69173,1.55374,0.000286423,0.000286423,0.000286423
34,127.423,1.00919,6.05165,0.28415,0.48244,1.12828,0.87425,0.85714,0.92741,0.67958,0.86661,0.58017,0.59396,0.11089,1.19572,6.53693,0.27489,0.66047,1.43981,0.000285999,0.000285999,0.000285999
35,130.679,0.93437,5.86857,0.28893,0.46925,1.09333,0.94599,0.82143,0.91249,0.68924,0.85482,0.55357,0.5696,0.12184,1.20523,6.4719,0.27564,0.65268,1.45157,0.000285574,0.000285574,0.000285574
36,133.88,0.96398,5.53768,0.28749,0.43653,1.04782,0.94785,0.83929,0.93471,0.70172,0.88809,0.53571,0.56221,0.11246,1.15373,6.25858,0.27312,0.7323,1.41516,0.00028515,0.00028515,0.00028515
37,137.524,0.88105,5.32413,0.28282,0.4136,1.06211,0.98256,0.875,0.95943,0.70859,0.89659,0.55357,0.58725,0.1689,1.13825,6.12082,0.27043,0.64556,1.39506,0.000284726,0.000284726,0.000284726
38,141.095,0.9081,5.34075,0.28146,0.42029,1.11081,0.96694,0.91071,0.95418,0.72158,0.91948,0.61186,0.65029,0.1634,1.1492,5.93691,0.26536,0.56768,1.41121,0.000284301,0.000284301,0.000284301
39,144.802,0.97529,5.19381,0.29129,0.44337,1.04286,0.96932,0.82143,0.919,0.68003,0.91408,0.56999,0.59916,0.1894,1.19243,6.20828,0.26487,0.66656,1.40205,0.000283877,0.000283877,0.000283877
40,148.05,0.89226,4.86925,0.28067,0.41022,1.06762,0.93095,0.96309,0.9514,0.72753,0.87975,0.58929,0.64241,0.27099,1.14209,5.60197,0.26336,0.61009,1.36954,0.000283453,0.000283453,0.000283453
41,151.7,0.93032,4.67203,0.2749,0.40426,1.03938,0.89346,0.92857,0.93042,0.70349,0.84145,0.625,0.64109,0.26902,1.19321,5.45703,0.26117,0.61069,1.43203,0.000283029,0.000283029,0.000283029
42,154.953,0.89911,4.67075,0.27863,0.40596,1.0446,0.9285,0.92756,0.93358,0.70664,0.8964,0.61813,0.65242,0.2411,1.09906,5.38239,0.26105,0.56697,1.36086,0.000282604,0.000282604,0.000282604
43,158.156,0.90678,4.52062,0.28057,0.41292,1.03939,0.90818,0.88317,0.94322,0.71561,0.85752,0.625,0.65285,0.22853,1.1514,5.59484,0.25948,0.62234,1.38345,0.00028218,0.00028218,0.00028218
44,161.349,0.91121,4.58511,0.28554,0.40504,1.05707,0.83512,0.90452,0.93829,0.71928,0.8389,0.625,0.63755,0.28038,1.14925,5.35427,0.25774,0.68097,1.42271,0.000281756,0.000281756,0.000281756
45,165.038,0.87809,4.66653,0.27996,0.40957,1.112,0.85865,0.86785,0.93465,0.72949,0.81803,0.60714,0.63237,0.31299,1.08609,5.17266,0.26022,0.6608,1.37641,0.000281331,0.000281331,0.000281331
46,168.732,0.89143,4.61193,0.28732,0.41341,1.05745,0.956,0.77612,0.93099,0.69661,0.89304,0.59648,0.61828,0.20954,1.21051,5.66152,0.26014,0.67609,1.472,0.000280907,0.000280907,0.000280907
47,171.945,0.89803,4.64475,0.27991,0.40274,1.07327,0.96143,0.89025,0.96762,0.74897,0.91456,0.625,0.66679,0.32241,1.15721,5.18807,0.25958,0.57066,1.38993,0.000280483,0.000280483,0.000280483
48,175.613,0.9286,4.78101,0.28211,0.41666,1.04431,0.94717,0.89286,0.96098,0.71347,0.8527,0.60714,0.60932,0.3024,1.18156,5.5556,0.26319,0.64419,1.40064,0.000280059,0.000280059,0.000280059
49,178.865,0.87917,4.4517,0.27825,0.40335,1.03224,0.92824,0.92403,0.96112,0.71512,0.81435,0.62667,0.64385,0.28064,1.09744,5.20733,0.26454,0.60168,1.36511,0.000279634,0.000279634,0.000279634
50,182.063,0.86533,4.49546,0.27403,0.39503,1.10613,0.92963,0.94369,0.95487,0.67988,0.8101,0.60946,0.63122,0.18026,1.2207,5.35712,0.26606,0.58758,1.5144,0.00027921,0.00027921,0.00027921
51,185.282,0.94679,4.31839,0.27576,0.39998,0.97934,0.92954,0.92857,0.95945,0.72103,0.87779,0.64136,0.64878,0.30651,1.15866,5.28655,0.26707,0.53349,1.40246,0.000278786,0.000278786,0.000278786
52,188.488,0.89474,4.28678,0.27391,0.38493,0.9577,0.86631,0.92575,0.92143,0.6903,0.88997,0.57784,0.64589,0.28361,1.23033,5.22833,0.26513,0.5922,1.53805,0.000278361,0.000278361,0.000278361
53,191.687,0.88881,4.39156,0.28045,0.40275,1.0543,0.89898,0.83929,0.89739,0.64103,0.71966,0.58929,0.53369,0.27321,1.22428,5.54455,0.27174,0.677,1.51848,0.000277937,0.000277937,0.000277937
54,194.982,0.86351,4.35062,0.27128,0.378,1.03157,0.94198,0.86987,0.92299,0.69433,0.90906,0.57143,0.60987,0.34419,1.12521,5.36879,0.26597,0.59445,1.38007,0.000277513,0.000277513,0.000277513
55,198.232,0.88665,4.36415,0.27454,0.39218,1.06015,0.93485,0.875,0.9114,0.66893,0.79616,0.55804,0.59275,0.267,1.25557,5.30026,0.26217,0.60791,1.57595,0.000277089,0.000277089,0.000277089
56,201.432,0.89197,4.08581,0.27885,0.39219,1.01986,0.89596,0.92277,0.9235,0.70677,0.86062,0.58929,0.64382,0.3605,1.11573,5.03059,0.26158,0.57967,1.36332,0.000276664,0.000276664,0.000276664
57,204.715,0.90659,4.15091,0.27496,0.39868,1.03401,0.93398,0.85714,0.92514,0.6836,0.86235,0.57143,0.6299,0.2641,1.16733,5.3567,0.26272,0.58202,1.41364,0.00027624,0.00027624,0.00027624
58,207.944,0.87288,4.0386,0.27025,0.38404,0.94964,0.86331,0.94643,0.9469,0.67934,0.82165,0.57594,0.62637,0.33744,1.17267,5.02029,0.26399,0.5864,1.40887,0.000275816,0.000275816,0.000275816
59,211.185,0.90669,4.08442,0.27108,0.39735,1.00164,0.90538,0.8544,0.92015,0.70813,0.90517,0.57143,0.63991,0.36094,1.14933,5.0317,0.26434,0.6131,1.36231,0.000275391,0.000275391,0.000275391
60,214.379,0.82721,3.90213,0.27086,0.37074,1.00499,0.92105,0.83338,0.9134,0.68549,0.86796,0.58929,0.62319,0.29504,1.1895,5.07855,0.26161,0.62244,1.53664,0.000274967,0.000274967,0.000274967
61,217.559,0.88913,3.81532,0.27593,0.38857,0.98748,0.98247,0.80357,0.95665,0.7111,0.84203,0.58929,0.6049,0.3699,1.14539,5.17151,0.26172,0.64981,1.45313,0.000274543,0.000274543,0.000274543
62,221.133,0.87139,3.82811,0.27603,0.38087,0.9692,0.9605,0.8686,0.96088,0.71857,0.85184,0.61611,0.64104,0.36135,1.15947,4.81321,0.26336,0.62324,1.53422,0.000274119,0.000274119,0.000274119
63,224.36,0.90277,3.66958,0.27964,0.40072,0.98854,0.92588,0.89225,0.96054,0.714,0.77566,0.6175,0.61689,0.34014,1.16167,4.95165,0.26365,0.64412,1.5108,0.000273694,0.000273694,0.000273694
64,227.587,0.86088,3.64066,0.28047,0.39287,0.96598,0.91697,0.80357,0.91033,0.69353,0.91661,0.58885,0.64644,0.30884,1.16693,4.70645,0.26262,0.59388,1.54899,0.00027327,0.00027327,0.00027327
65,230.81,0.87124,3.54061,0.27325,0.37826,0.94969,0.93438,0.85714,0.93411,0.71585,0.93874,0.67857,0.7123,0.41392,1.1156,4.2944,0.26091,0.58657,1.45278,0.000272846,0.000272846,0.000272846
66,234.466,0.84136,3.37254,0.26717,0.38058,0.95679,0.96343,0.94098,0.97415,0.72136,0.84936,0.625,0.66053,0.40339,1.10341,4.52567,0.25839,0.58872,1.43062,0.000272421,0.000272421,0.000272421
67,237.654,0.83457,3.32341,0.27439,0.37811,1.00879,0.91249,0.93099,0.96439,0.73069,0.85111,0.64286,0.70478,0.46583,1.08925,4.1876,0.25709,0.61266,1.39913,0.000271997,0.000271997,0.000271997
68,241.294,0.87996,3.25364,0.26494,0.39035,0.99249,0.91019,0.90492,0.95773,0.71461,0.85437,0.625,0.67079,0.4084,1.16845,4.20488,0.25641,0.61649,1.42079,0.000271573,0.000271573,0.000271573
69,244.523,0.83895,3.33674,0.26956,0.37702,0.97706,0.82432,0.94643,0.95713,0.74815,0.8466,0.66071,0.71213,0.45309,1.04805,4.2201,0.25787,0.61036,1.32481,0.000271149,0.000271149,0.000271149
70,248.182,0.84974,3.51902,0.27267,0.39349,0.96781,0.80875,0.9817,0.95354,0.73858,0.8579,0.625,0.66823,0.41438,1.06032,4.28215,0.25901,0.58587,1.30268,0.000270724,0.000270724,0.000270724
71,251.414,0.9004,3.31837,0.27066,0.38848,0.99674,0.89484,0.89286,0.94692,0.74762,0.80131,0.57143,0.63688,0.4188,1.01776,4.22506,0.25585,0.50064,1.27263,0.0002703,0.0002703,0.0002703
72,254.638,0.81841,3.40771,0.2714,0.37585,1.0132,0.87577,0.94643,0.95637,0.73794,0.80509,0.69643,0.70761,0.41373,1.06133,4.08567,0.25607,0.56381,1.30643,0.000269876,0.000269876,0.000269876
73,257.876,0.86571,3.40946,0.27675,0.39076,0.95252,0.89514,0.91465,0.94176,0.73099,0.75692,0.77855,0.75352,0.45453,1.08713,4.04609,0.25552,0.58128,1.33876,0.000269451,0.000269451,0.000269451
74,261.11,0.82958,3.17772,0.27369,0.37804,0.98021,0.92459,0.82143,0.93475,0.75103,0.77521,0.67857,0.70093,0.44137,0.98305,4.03069,0.25807,0.55349,1.23082,0.000269027,0.000269027,0.000269027
75,264.376,0.89271,3.17562,0.26407,0.39662,0.95808,0.85458,0.94448,0.95304,0.73253,0.76915,0.64286,0.68667,0.41545,1.06401,4.17644,0.25618,0.55143,1.28104,0.000268603,0.000268603,0.000268603
76,267.627,0.8351,3.3035,0.27112,0.39526,1.00136,0.85785,0.92857,0.95789,0.76509,0.83149,0.64286,0.67756,0.44505,0.98921,4.09215,0.25803,0.53546,1.25781,0.000268179,0.000268179,0.000268179
77,271.27,0.79137,3.15986,0.26765,0.3698,0.94547,0.87198,0.94643,0.96792,0.7558,0.85435,0.67857,0.72973,0.44892,0.97311,4.16521,0.25677,0.5281,1.24494,0.000267754,0.000267754,0.000267754
78,274.57,0.87557,3.16644,0.28238,0.3843,0.90767,0.8931,0.96429,0.97359,0.7457,0.81349,0.62314,0.66159,0.37413,1.04356,4.33337,0.25615,0.53532,1.33914,0.00026733,0.00026733,0.00026733
79,277.78,0.9268,3.09912,0.26673,0.38473,0.93996,0.88322,0.92857,0.96521,0.75613,0.86548,0.68945,0.71385,0.43005,1.0212,4.21866,0.25417,0.52916,1.31639,0.000266906,0.000266906,0.000266906
80,281.059,0.88105,3.14652,0.26657,0.37735,0.95762,0.91044,0.90766,0.94185,0.7165,0.8287,0.64286,0.65206,0.41506,1.12181,4.5061,0.25821,0.61779,1.44774,0.000266481,0.000266481,0.000266481
81,284.329,0.85091,3.1218,0.2682,0.37112,0.93957,0.91333,0.941,0.93665,0.72941,0.89024,0.66071,0.69517,0.43333,1.06905,4.21413,0.25615,0.57317,1.3788,0.000266057,0.000266057,0.000266057
82,287.629,0.82665,3.18976,0.26587,0.37299,0.93724,1,0.87141,0.94802,0.7583,0.8493,0.64286,0.66396,0.44436,1.00016,4.13686,0.25551,0.55114,1.25441,0.000265633,0.000265633,0.000265633
83,290.865,0.81277,2.99456,0.26711,0.36571,0.96899,0.88238,0.96429,0.96636,0.76249,0.86926,0.71238,0.73747,0.41579,0.97579,4.25541,0.25594,0.50747,1.27525,0.000265209,0.000265209,0.000265209
84,294.101,0.73978,3.03293,0.26577,0.34449,0.93324,0.88502,0.96213,0.96798,0.77027,0.80892,0.66071,0.69357,0.43779,0.93164,4.28742,0.25326,0.51791,1.25505,0.000264784,0.000264784,0.000264784
85,297.373,0.82402,3.06849,0.26281,0.36074,0.89573,0.9135,0.94299,0.96445,0.75339,0.88204,0.66773,0.7367,0.43767,0.95419,4.26242,0.25321,0.56963,1.27687,0.00026436,0.00026436,0.00026436
86,300.568,0.85421,3.10964,0.26435,0.35442,0.94201,0.8839,0.95174,0.95449,0.74439,0.70553,0.71429,0.6853,0.43708,0.99758,4.20092,0.25357,0.53989,1.33491,0.000263936,0.000263936,0.000263936
87,303.827,0.72627,3.02779,0.26331,0.34101,0.92492,0.94444,0.91063,0.94679,0.7533,0.72178,0.69643,0.69373,0.46688,1.00892,3.91401,0.2525,0.49253,1.36696,0.000263511,0.000263511,0.000263511
88,307.469,0.82123,3.11126,0.2649,0.34593,0.9095,0.92293,0.85538,0.93646,0.7546,0.77813,0.71429,0.72528,0.48407,1.00889,4.01107,0.25431,0.55801,1.30456,0.000263087,0.000263087,0.000263087
89,311.123,0.82257,2.99435,0.26287,0.35751,0.93412,0.92585,0.89188,0.95623,0.73259,0.83896,0.71429,0.7465,0.44334,1.03796,4.09093,0.2556,0.60308,1.34301,0.000262663,0.000262663,0.000262663
90,314.392,0.85223,3.06171,0.25852,0.35392,0.88846,0.90634,0.89286,0.92919,0.76116,0.77744,0.74858,0.73711,0.45195,1.00154,4.00787,0.25356,0.60774,1.29515,0.000262239,0.000262239,0.000262239
91,317.64,0.8026,2.97295,0.26506,0.35989,0.93528,0.9241,0.8697,0.93381,0.75895,0.77544,0.71429,0.70166,0.46479,0.97615,4.03143,0.25225,0.59886,1.27128,0.000261814,0.000261814,0.000261814
92,320.89,0.80131,2.97613,0.26691,0.34625,0.91085,0.87761,0.91071,0.93736,0.76137,0.86535,0.68867,0.74678,0.47366,0.94986,4.03444,0.25303,0.55485,1.28747,0.00026139,0.00026139,0.00026139
93,324.152,0.74114,2.98472,0.26712,0.33758,0.91713,0.87719,0.92857,0.9558,0.76541,0.77968,0.67857,0.69379,0.4567,0.98386,4.13302,0.2538,0.54991,1.36832,0.000260966,0.000260966,0.000260966
