epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6689,0.81455,5.38257,1.33109,0.57144,1.37369,0.93313,0.73462,0.82944,0.71712,0.98999,0.68421,0.685,0.37542,0.65193,5.21504,1.28868,0.62747,1.19259,8e-05,8e-05,0.0734133
2,13.6741,0.67783,5.05002,1.31002,0.49662,1.25294,0.90596,0.78947,0.86197,0.6978,0.61847,0.52632,0.41654,0.0527,0.68876,6.3442,1.52369,0.55297,1.24507,0.000179406,0.000179406,0.0401794
3,15.9766,0.86398,7.6175,1.23565,0.55379,1.4388,0.88339,0.79779,0.86356,0.69564,0.43077,0.36842,0.22192,0.02429,0.69049,6.4845,1.51935,0.55505,1.24151,0.000278152,0.000278152,0.00694482
4,18.3001,0.75872,7.0718,1.24884,0.50685,1.33247,0.93446,0.89474,0.88333,0.72431,0.75605,0.68421,0.685,0.09696,0.74857,6.15147,1.46801,0.44321,1.33749,0.00029703,0.00029703,0.00029703
5,20.6452,0.75704,5.53975,1.31246,0.49959,1.3274,0.99353,0.68421,0.80324,0.67274,0.99353,0.68421,0.685,0.33135,0.79641,5.32132,1.22654,0.5581,1.23842,0.00029604,0.00029604,0.00029604
6,22.9754,0.70408,5.92102,1.25892,0.43941,1.18565,0.99535,0.68421,0.74088,0.65715,0.91878,0.63158,0.59038,0.15378,0.83163,5.71521,1.14772,0.57253,1.29214,0.00029505,0.00029505,0.00029505
7,25.3505,0.71263,5.99212,1.24564,0.50282,1.22351,0.8495,0.84211,0.84699,0.67921,0.91752,0.63158,0.59038,0.15418,0.79216,5.75134,1.20212,0.50007,1.26871,0.00029406,0.00029406,0.00029406
8,27.7274,0.68845,5.1845,1.19258,0.44488,1.20347,0.79968,0.89474,0.87316,0.71516,0.91606,0.63158,0.59038,0.21963,0.77397,5.50833,1.26136,0.48816,1.26482,0.00029307,0.00029307,0.00029307
9,30.0981,0.73509,5.37694,1.14376,0.45015,1.17376,0.85864,0.78947,0.88454,0.71198,0.99197,0.68421,0.685,0.35428,0.71956,5.33726,1.27852,0.47928,1.2347,0.00029208,0.00029208,0.00029208
10,32.4498,0.70857,5.39889,1.11395,0.48954,1.17458,0.93939,0.81651,0.91007,0.70562,0.99292,0.68421,0.685,0.38569,0.76544,5.24216,1.26522,0.52056,1.25026,0.00029109,0.00029109,0.00029109
11,34.7873,0.68687,5.28747,1.15658,0.46182,1.2019,0.95823,0.78947,0.90592,0.70132,0.99386,0.68421,0.685,0.37182,0.84528,5.10716,1.23896,0.58598,1.30897,0.0002901,0.0002901,0.0002901
12,37.1226,0.72383,5.02726,1.17797,0.45062,1.17212,1,0.73653,0.86633,0.70939,0.99451,0.68421,0.685,0.31925,0.80936,5.05849,1.19975,0.58595,1.29873,0.00028911,0.00028911,0.00028911
13,39.4962,0.64872,4.98155,1.15689,0.41075,1.14579,1,0.7329,0.86627,0.73238,0.99443,0.68421,0.685,0.30087,0.73555,5.16041,1.12057,0.49674,1.22588,0.00028812,0.00028812,0.00028812
14,41.9041,0.61716,5.01272,1.11598,0.41078,1.07932,1,0.73393,0.87936,0.76695,0.99404,0.68421,0.685,0.34025,0.72035,5.10181,1.10119,0.49041,1.21225,0.00028713,0.00028713,0.00028713
15,44.5335,0.6707,4.79152,1.10532,0.44016,1.16872,1,0.78583,0.89619,0.76283,0.99382,0.68421,0.685,0.38029,0.73028,5.01426,1.09444,0.48119,1.20654,0.00028614,0.00028614,0.00028614
16,47.1316,0.59043,4.89108,1.08997,0.3937,1.10311,0.9961,0.84211,0.89797,0.76037,0.9934,0.68421,0.685,0.39863,0.75525,5.02607,1.12532,0.46595,1.24373,0.00028515,0.00028515,0.00028515
17,49.6809,0.62904,4.76435,1.10547,0.39211,1.14732,0.9814,0.84211,0.93157,0.74463,0.99308,0.68421,0.685,0.31405,0.76295,5.37956,1.12386,0.44044,1.26485,0.00028416,0.00028416,0.00028416
18,51.9762,0.67281,4.87709,1.07333,0.39995,1.1414,0.98722,0.84211,0.92674,0.73115,0.99273,0.68421,0.685,0.25878,0.72789,5.38978,1.1075,0.45146,1.219,0.00028317,0.00028317,0.00028317
19,54.3717,0.62714,4.7107,1.08208,0.39339,1.15066,1,0.83656,0.92963,0.78945,0.9923,0.68421,0.685,0.27942,0.62123,5.24337,1.07834,0.45218,1.15048,0.00028218,0.00028218,0.00028218
20,56.7851,0.60153,4.77704,1.06685,0.38899,1.10596,1,0.83295,0.94333,0.79148,0.99251,0.68421,0.685,0.34161,0.5853,5.09895,1.04524,0.40891,1.1264,0.00028119,0.00028119,0.00028119
21,59.21,0.66606,4.84384,1.05013,0.43648,1.19355,0.98044,0.78947,0.86835,0.75014,0.99312,0.68421,0.685,0.42204,0.6076,5.00384,1.01491,0.4366,1.14824,0.0002802,0.0002802,0.0002802
22,61.8713,0.56425,4.76351,1.034,0.37825,1.11177,0.97986,0.78947,0.8696,0.75197,0.99322,0.68421,0.685,0.39503,0.61599,5.0261,1.01581,0.42103,1.15038,0.00027921,0.00027921,0.00027921
23,64.2511,0.56133,4.68816,1.05401,0.36239,1.12106,0.97595,0.78947,0.87712,0.75397,0.99356,0.68421,0.685,0.325,0.66333,5.13921,1.02011,0.40804,1.18291,0.00027822,0.00027822,0.00027822
24,66.3938,0.58926,4.65689,1.0782,0.36848,1.10341,0.94358,0.88082,0.9461,0.78778,0.99307,0.68421,0.685,0.30373,0.67761,5.11904,1.03156,0.40775,1.2074,0.00027723,0.00027723,0.00027723
25,68.4529,0.64892,4.75615,1.05742,0.39173,1.13788,1,0.8725,0.95712,0.81713,0.99192,0.68421,0.685,0.3704,0.59799,4.83865,1.06238,0.3849,1.12971,0.00027624,0.00027624,0.00027624
26,70.7263,0.63516,4.64343,1.08279,0.38059,1.14715,1,0.87344,0.96129,0.83603,0.99175,0.68421,0.685,0.41032,0.55737,4.75252,1.03832,0.37692,1.10802,0.00027525,0.00027525,0.00027525
27,73.0113,0.58654,4.56381,1.03649,0.37647,1.11282,0.97636,0.94737,0.96762,0.7897,0.99219,0.68421,0.685,0.42575,0.59102,4.76838,0.99014,0.3919,1.11398,0.00027426,0.00027426,0.00027426
28,75.2695,0.61195,4.5061,1.00698,0.40183,1.10587,0.98904,0.94737,0.96292,0.74129,0.99277,0.68421,0.685,0.40398,0.64439,4.89912,0.96147,0.40941,1.11766,0.00027327,0.00027327,0.00027327
29,77.5357,0.6071,4.65041,1.01568,0.37767,1.10794,0.93373,0.74185,0.84279,0.73458,0.99282,0.68421,0.685,0.39084,0.59716,5.04023,0.95237,0.37888,1.10426,0.00027228,0.00027228,0.00027228
30,79.7681,0.57037,4.42339,0.98982,0.36417,1.07501,0.9344,0.75029,0.86363,0.73962,0.99277,0.68421,0.685,0.35444,0.58097,5.07038,0.95286,0.37616,1.10473,0.00027129,0.00027129,0.00027129
31,82.0557,0.584,4.61348,1.00911,0.35383,1.0912,0.97083,0.84211,0.91329,0.77617,0.99237,0.68421,0.685,0.35444,0.59712,5.0282,0.94485,0.38609,1.11411,0.0002703,0.0002703,0.0002703
32,84.293,0.54625,4.43606,0.99505,0.35995,1.05725,0.89625,0.90982,0.96437,0.79898,0.9918,0.68421,0.685,0.36603,0.58418,4.92665,0.93732,0.38196,1.1177,0.00026931,0.00026931,0.00026931
33,86.5675,0.5273,4.49384,0.98382,0.35311,1.06769,0.98317,0.94737,0.97214,0.84121,0.99087,0.68421,0.685,0.38646,0.54042,4.78943,0.9366,0.37086,1.10415,0.00026832,0.00026832,0.00026832
34,88.8166,0.54731,4.47102,0.99309,0.35065,1.13218,1,0.88155,0.96639,0.85,0.99034,0.68421,0.685,0.40673,0.54169,4.76869,0.93261,0.37439,1.10799,0.00026733,0.00026733,0.00026733
35,91.2775,0.53362,4.33502,0.99683,0.34196,1.08899,1,0.89046,0.96665,0.82925,0.98994,0.68421,0.685,0.41054,0.54372,4.76499,0.92382,0.36862,1.10366,0.00026634,0.00026634,0.00026634
36,93.4814,0.50755,4.31616,0.95941,0.3416,1.05319,0.94623,0.92687,0.97932,0.8421,0.99066,0.68421,0.685,0.42183,0.55631,4.81292,0.91171,0.37498,1.10603,0.00026535,0.00026535,0.00026535
37,95.9549,0.52441,4.43421,0.93374,0.33443,1.03794,0.93022,0.89474,0.96901,0.80377,0.98962,0.68421,0.685,0.45009,0.55373,4.83603,0.90116,0.38568,1.10394,0.00026436,0.00026436,0.00026436
