epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5182,3.73971,9.8286,1.36725,7.59276,8.47852,0.06849,0.26316,0.02402,0.0028,0,0,0,0,4.09143,10.0005,1.62452,3.30813,8.40421,8e-05,8e-05,0.0734133
2,17.6493,3.7007,9.76923,1.41112,7.23351,8.74324,0.07229,0.31579,0.02844,0.00284,0,0,0,0,4.06699,10.0974,1.60201,3.2309,8.52372,0.000179406,0.000179406,0.0401794
3,20.821,3.56205,9.80407,1.40839,7.06706,8.73333,0.07595,0.31579,0.02779,0.00278,0,0,0,0,4.07506,10.215,1.58435,3.15033,8.62923,0.000278152,0.000278152,0.00694482
4,23.7924,4.04138,9.93194,1.49105,7.99422,9.42022,0.05263,0.26316,0.0207,0.00223,0,0,0,0,4.08031,10.2696,1.56496,3.1104,8.72269,0.00029703,0.00029703,0.00029703
5,26.8864,4.10289,10.1505,1.42731,7.88542,9.55818,0.00552,0.05263,0.00037,0.00011,0,0,0,0,4.59924,10.7573,1.8482,2.86838,9.75122,0.00029604,0.00029604,0.00029604
6,30.1529,3.67044,9.47445,1.4133,4.01082,6.50601,0.06306,0.73684,0.049,0.00574,0,0,0,0,4.22538,10.2638,1.9441,2.78132,8.8105,0.00029505,0.00029505,0.00029505
7,33.7358,3.27795,8.92058,1.647,1.92376,5.14626,0.41355,0.48281,0.46388,0.07656,0,0,0,0,3.4477,9.15705,1.84169,2.84763,7.2723,0.00029406,0.00029406,0.00029406
8,37.3271,3.32846,8.49197,1.60421,1.57805,4.67221,0.38133,0.68421,0.53855,0.09557,0,0,0,0,3.3622,8.74172,1.87329,3.72596,6.54356,0.00029307,0.00029307,0.00029307
9,40.9261,3.57788,8.17097,1.71689,1.53204,4.23921,0.64511,0.68421,0.61936,0.08364,0.11488,0.15789,0.03789,0.00751,3.439,8.0686,1.9037,3.36117,5.62452,0.00029208,0.00029208,0.00029208
10,44.277,3.11292,7.36822,1.8031,1.41274,4.0256,0.78306,0.63158,0.62627,0.12495,0.32872,0.26316,0.11816,0.0329,3.34863,7.82497,1.62518,2.55019,5.73023,0.00029109,0.00029109,0.00029109
11,47.878,3.15291,7.18579,1.68554,1.37373,4.32357,0.96391,0.63158,0.66866,0.17729,0.61433,0.26316,0.265,0.07578,3.24378,8.23633,1.32433,1.88676,5.60711,0.0002901,0.0002901,0.0002901
12,51.4684,2.9868,6.7707,1.74177,1.26781,4.41316,0.90904,0.63158,0.67274,0.18787,0.53234,0.21053,0.1944,0.05469,3.19944,8.26275,1.30548,1.61249,5.65539,0.00028911,0.00028911,0.00028911
13,55.0101,3.11292,6.78245,1.72895,1.32303,4.43021,0.97811,0.63158,0.68541,0.21939,0.42062,0.26316,0.17167,0.0275,3.13485,7.16825,1.39743,1.62963,5.46296,0.00028812,0.00028812,0.00028812
14,58.2945,2.91811,6.77265,1.6622,1.25203,4.11889,0.96883,0.63158,0.70126,0.22147,0.57542,0.31579,0.2404,0.04421,3.10856,7.09362,1.38494,1.76004,5.13369,0.00028713,0.00028713,0.00028713
15,61.838,2.99295,6.49344,1.70534,1.23387,4.02523,0.9627,0.63158,0.68449,0.19208,0.7507,0.36842,0.34625,0.07137,3.1138,7.4608,1.30932,1.70108,4.92523,0.00028614,0.00028614,0.00028614
16,64.9198,2.77713,5.7811,1.66597,1.15578,3.75972,0.96687,0.63158,0.69313,0.17851,0.57853,0.15789,0.155,0.0365,3.13792,7.90211,1.2648,1.48454,4.74867,0.00028515,0.00028515,0.00028515
17,68.0086,2.98405,6.27056,1.66033,1.16274,3.92283,0.98498,0.63158,0.6981,0.20754,0.55642,0.21053,0.195,0.03633,3.04935,7.6662,1.27233,1.34111,4.59661,0.00028416,0.00028416,0.00028416
18,71.1849,2.58064,6.09908,1.72422,1.0916,3.66563,0.89958,0.68421,0.69464,0.20389,0.18924,0.05263,0.055,0.011,2.99371,7.0959,1.32736,1.32242,4.57358,0.00028317,0.00028317,0.00028317
19,74.501,2.88689,5.92376,1.765,1.14695,3.89399,0.98687,0.68421,0.69561,0.20763,0.38813,0.31579,0.16694,0.0205,2.97513,6.86065,1.35322,1.32831,4.55558,0.00028218,0.00028218,0.00028218
20,77.8088,2.54954,5.52061,1.7154,0.98717,3.70675,1,0.67463,0.69186,0.21401,0.56018,0.36842,0.2575,0.03854,2.97462,6.85218,1.33146,1.32338,4.60607,0.00028119,0.00028119,0.00028119
21,81.1609,2.81896,5.2239,1.68175,1.03532,3.82686,0.90035,0.68421,0.68348,0.22201,0.48337,0.31579,0.185,0.02613,3.04367,7.29098,1.24426,1.3851,4.65561,0.0002802,0.0002802,0.0002802
22,84.4943,2.55895,5.538,1.67345,1.00943,3.72625,1,0.67896,0.68683,0.21358,0.4055,0.26316,0.12045,0.01476,3.05298,7.37589,1.23363,1.44906,4.57876,0.00027921,0.00027921,0.00027921
23,87.8354,2.61392,5.36823,1.59675,1.02066,3.6205,0.97069,0.68421,0.69538,0.21439,0.45193,0.31579,0.1575,0.02688,3.02603,7.30077,1.25413,1.50437,4.52835,0.00027822,0.00027822,0.00027822
24,91.1079,2.61763,5.53843,1.56184,1.01655,3.67616,0.95597,0.68421,0.70469,0.22466,0.44403,0.31579,0.1575,0.02817,2.99717,7.18426,1.24995,1.52988,4.50451,0.00027723,0.00027723,0.00027723
25,94.4748,2.46415,5.45084,1.52147,0.97197,3.51406,0.93981,0.68421,0.71306,0.23436,0.43259,0.31579,0.1575,0.02864,2.83493,6.58008,1.28283,1.31497,4.30351,0.00027624,0.00027624,0.00027624
26,97.8301,2.50262,5.43297,1.48068,0.9422,3.61713,0.97284,0.68421,0.71947,0.23661,0.67077,0.47368,0.38415,0.06406,2.81431,6.44252,1.28502,1.23197,4.27093,0.00027525,0.00027525,0.00027525
27,101.451,2.6473,5.47681,1.52848,0.91006,3.69021,0.96388,0.68421,0.70987,0.23579,0.81165,0.57895,0.51038,0.11839,2.81833,6.27164,1.30796,1.19732,4.27502,0.00027426,0.00027426,0.00027426
28,105.08,2.55482,5.67208,1.53639,0.9227,3.61712,0.96027,0.68421,0.69794,0.23383,0.88373,0.63158,0.60269,0.19561,2.84465,6.08346,1.35012,1.17045,4.25984,0.00027327,0.00027327,0.00027327
29,108.678,2.54713,5.34626,1.57982,0.87803,3.62262,0.97944,0.68421,0.7302,0.2394,0.90305,0.63158,0.60654,0.23685,2.80731,5.89227,1.37776,1.09758,4.19092,0.00027228,0.00027228,0.00027228
30,112.102,2.5707,5.05884,1.52587,0.88857,3.64043,0.98439,0.68421,0.71935,0.23934,0.98439,0.68421,0.685,0.25133,2.77529,5.96779,1.32281,1.03836,4.1947,0.00027129,0.00027129,0.00027129
