epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3206,3.89066,9.82449,1.31834,7.12796,9.75936,0.11429,0.30769,0.04787,0.00507,0,0,0,0,4.08165,9.71489,1.419,2.38262,9.04673,7.5e-05,7.5e-05,0.075075
2,15.6342,3.40862,9.57244,1.32574,6.21061,8.79513,0.11111,0.30769,0.04676,0.00514,0,0,0,0,4.09439,9.78116,1.41526,2.25037,9.11482,0.000174567,0.000174567,0.0418412
3,17.9664,3.65365,9.4813,1.33248,6.29804,9.12934,0.12821,0.38462,0.055,0.00665,0,0,0,0,4.09847,9.91208,1.40699,2.14538,9.17556,0.000273639,0.000273639,0.00860697
4,20.2953,4.37115,10.089,1.30412,8.02561,10.5491,0.11628,0.38462,0.06016,0.00625,0,0,0,0,4.09555,9.96742,1.39719,2.02164,9.29452,0.000297773,0.000297773,0.000297773
5,22.5553,3.83891,9.85738,1.31393,7.37014,9.49806,0.16772,0.30769,0.08719,0.00892,0,0,0,0,4.10115,10.0272,1.39615,1.93599,9.41172,0.00029703,0.00029703,0.00029703
6,24.8701,3.70245,9.58333,1.34651,5.84033,9.71098,0.1,0.38462,0.05224,0.00542,0,0,0,0,4.1138,10.0908,1.38829,1.94051,9.50138,0.000296288,0.000296288,0.000296288
7,27.1314,3.60805,9.55762,1.31583,6.6213,9.25074,0.11714,0.23077,0.04288,0.00429,0,0,0,0,4.15178,10.1617,1.38198,2.00199,9.62875,0.000295545,0.000295545,0.000295545
8,29.4433,3.38906,9.00069,1.37774,3.4689,7.26423,0.13994,0.15385,0.02738,0.00331,0,0,0,0,4.65201,10.1334,1.54435,2.28269,9.5104,0.000294802,0.000294802,0.000294802
9,31.89,3.28232,8.72778,1.40949,2.01679,5.89035,0.09914,0.23077,0.05113,0.0056,0,0,0,0,4.02549,9.44263,1.50468,3.24206,7.99358,0.00029406,0.00029406,0.00029406
10,34.2353,2.82729,7.87877,1.52318,1.17399,4.74104,0.35212,0.46154,0.58518,0.11359,0,0,0,0,3.34478,8.4854,1.57758,2.82077,7.36158,0.000293317,0.000293317,0.000293317
11,36.8026,2.89818,7.24204,1.6342,1.11196,4.41654,0.46168,0.92308,0.69994,0.13081,0,0,0,0,3.20118,7.2984,1.77361,2.90821,6.61758,0.000292575,0.000292575,0.000292575
12,39.4401,3.27026,7.11106,1.69027,1.09079,4.20319,0.58382,0.86395,0.858,0.18192,0.10946,0.23077,0.03682,0.00404,3.14174,6.85084,1.90711,2.54169,5.95052,0.000291833,0.000291833,0.000291833
13,42.209,3.40534,6.77058,1.8261,1.10218,4.44361,0.92077,0.92308,0.96021,0.23297,0.40983,0.38462,0.25603,0.05575,3.06794,5.8573,1.87587,1.53851,6.01836,0.00029109,0.00029109,0.00029109
14,45.004,2.94712,5.73885,1.98587,0.94193,4.29614,0.9263,0.92308,0.9587,0.26622,0.92567,0.53846,0.535,0.155,3.02159,6.45704,1.68171,1.18725,5.6799,0.000290347,0.000290347,0.000290347
