epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4903,3.73971,9.8286,1.36725,7.59276,8.47852,0.06849,0.26316,0.02402,0.0028,0,0,0,0,4.09143,10.0005,1.62452,3.30813,8.40421,8e-05,8e-05,0.0734133
2,17.5656,3.7007,9.76923,1.41112,7.23351,8.74324,0.07229,0.31579,0.02844,0.00284,0,0,0,0,4.06699,10.0974,1.60201,3.2309,8.52372,0.000179745,0.000179745,0.0401797
3,20.7439,3.56205,9.80407,1.40839,7.06706,8.73333,0.07595,0.31579,0.02779,0.00278,0,0,0,0,4.07506,10.215,1.58435,3.15033,8.62923,0.000279208,0.000279208,0.00694587
4,23.7685,4.04138,9.93194,1.49105,7.99422,9.42022,0.05263,0.26316,0.0207,0.00223,0,0,0,0,4.08031,10.2696,1.56496,3.1104,8.72269,0.000298727,0.000298727,0.000298727
5,26.8387,4.10289,10.1505,1.42731,7.88542,9.55818,0.00549,0.05263,0.00036,0.00011,0,0,0,0,4.59913,10.7594,1.85002,2.88227,9.74649,0.000298303,0.000298303,0.000298303
6,30.1129,3.67362,9.47501,1.41319,4.01479,6.50259,0.06306,0.73684,0.05069,0.00592,0,0,0,0,4.22234,10.2573,1.94035,2.78433,8.80344,0.000297879,0.000297879,0.000297879
7,33.6329,3.27231,8.91452,1.64303,1.93062,5.13683,0.46933,0.57895,0.50612,0.08195,0,0,0,0,3.43915,9.1187,1.83954,2.80532,7.23134,0.000297454,0.000297454,0.000297454
8,37.1459,3.32501,8.47645,1.60565,1.57725,4.66067,0.34503,0.57895,0.50586,0.08656,0,0,0,0,3.3484,8.68563,1.87948,3.63382,6.51628,0.00029703,0.00029703,0.00029703
9,40.6943,3.58914,8.14877,1.70964,1.54074,4.23485,0.6694,0.68421,0.64163,0.09067,0.05267,0.10526,0.00879,0.00293,3.44231,8.07314,1.87195,3.18505,5.59807,0.000296606,0.000296606,0.000296606
10,44.203,3.09588,7.37165,1.80685,1.39348,4.01389,0.83367,0.63158,0.65107,0.13042,0.25518,0.21053,0.08647,0.0255,3.34122,7.93126,1.55648,2.48955,5.67622,0.000296181,0.000296181,0.000296181
11,47.7233,3.15263,7.1937,1.68514,1.40251,4.32055,0.84931,0.57895,0.64884,0.17587,0.67289,0.26316,0.25667,0.1095,3.2799,8.44962,1.28388,1.90989,5.58811,0.000295757,0.000295757,0.000295757
12,51.8233,2.96085,6.72217,1.74275,1.26687,4.3985,1,0.62666,0.67297,0.19442,0.53784,0.21053,0.17455,0.04062,3.23598,8.34434,1.28768,1.68171,5.63389,0.000295333,0.000295333,0.000295333
13,55.1687,3.09136,6.71791,1.74986,1.29226,4.39495,1,0.68042,0.69074,0.21311,0.39459,0.21053,0.09556,0.01989,3.11097,7.22814,1.38619,1.67148,5.29028,0.000294909,0.000294909,0.000294909
14,58.5035,2.91565,6.57936,1.67653,1.23985,4.07499,0.98564,0.68421,0.69421,0.2056,0.59751,0.31579,0.22833,0.04831,3.08244,6.97374,1.40553,1.76357,4.96795,0.000294484,0.000294484,0.000294484
15,61.8302,3.03012,6.41919,1.76844,1.20709,4.00556,0.98034,0.68421,0.70056,0.17737,0.72563,0.36842,0.30722,0.05364,3.17975,7.49799,1.32846,1.61147,4.82701,0.00029406,0.00029406,0.00029406
16,65.1648,2.814,5.74497,1.71994,1.16459,3.75796,0.97516,0.68421,0.70128,0.16821,0.53272,0.26316,0.25071,0.05107,3.20412,7.62394,1.30058,1.44332,4.73264,0.000293636,0.000293636,0.000293636
17,68.4965,2.92304,6.18099,1.71737,1.15677,3.87565,0.99104,0.68421,0.70022,0.19252,0.71287,0.47368,0.4505,0.07622,3.09397,6.76264,1.36298,1.33276,4.73512,0.000293211,0.000293211,0.000293211
18,71.8478,2.52738,6.19236,1.73453,1.05786,3.65161,0.97574,0.68421,0.70134,0.18673,0.56104,0.47368,0.35205,0.04628,3.08335,6.59365,1.40374,1.28899,4.61143,0.000292787,0.000292787,0.000292787
19,75.1941,2.84897,6.06873,1.70207,1.16373,3.87621,0.97937,0.68421,0.69821,0.19296,0.52434,0.36842,0.19654,0.04141,3.071,6.67424,1.3876,1.2382,4.5793,0.000292363,0.000292363,0.000292363
20,78.5428,2.50972,5.58698,1.6943,0.96465,3.73004,0.99905,0.68421,0.69707,0.20402,0.48593,0.31579,0.1575,0.03506,3.06251,6.77534,1.34639,1.23706,4.61248,0.000291939,0.000291939,0.000291939
21,81.9104,2.76644,5.35295,1.65083,1.00852,3.84414,0.97388,0.63158,0.72187,0.23021,0.56745,0.36842,0.2435,0.04059,2.89553,6.97067,1.27503,1.21829,4.50011,0.000291514,0.000291514,0.000291514
22,85.3868,2.53163,5.56934,1.71326,0.93714,3.74471,0.94779,0.63158,0.74953,0.23872,0.40801,0.26316,0.12045,0.03158,2.88785,6.93857,1.29037,1.2525,4.42593,0.00029109,0.00029109,0.00029109
23,88.2693,2.60641,5.44862,1.64793,0.98808,3.65211,0.95968,0.63158,0.77622,0.24152,0.47943,0.31579,0.1575,0.04691,2.89488,6.70613,1.34922,1.29806,4.34064,0.000290666,0.000290666,0.000290666
24,91.9162,2.65398,5.45229,1.60938,1.00554,3.69318,1,0.67952,0.75156,0.24176,0.46497,0.31579,0.1575,0.05062,2.94528,6.64273,1.34559,1.22389,4.31346,0.000290241,0.000290241,0.000290241
25,95.5981,2.44231,5.45741,1.54034,0.94799,3.45931,0.96995,0.68421,0.74222,0.24127,0.6715,0.47368,0.34577,0.06148,2.91175,6.49253,1.32192,1.04055,4.18171,0.000289817,0.000289817,0.000289817
26,99.2933,2.5304,5.71017,1.46869,0.92541,3.54834,0.9756,0.68421,0.74885,0.246,0.82551,0.57895,0.52859,0.12835,2.87247,6.33635,1.32454,0.98272,4.12317,0.000289393,0.000289393,0.000289393
27,102.968,2.67906,5.65602,1.5043,0.9298,3.70374,0.97644,0.68421,0.81894,0.2551,0.90133,0.63158,0.61885,0.16293,2.8429,6.08044,1.37278,0.97971,4.07545,0.000288969,0.000288969,0.000288969
28,106.636,2.54778,5.84107,1.60103,0.90335,3.59055,1,0.7213,0.8543,0.26581,0.89874,0.63158,0.61885,0.18816,2.79332,5.73728,1.42951,0.97719,4.06401,0.000288544,0.000288544,0.000288544
29,110.313,2.5627,5.28331,1.64551,0.86747,3.597,0.93957,0.81906,0.88752,0.27768,0.87868,0.63158,0.60654,0.14147,2.76424,5.66531,1.47435,0.98085,3.97567,0.00028812,0.00028812,0.00028812
